iter	Logloss
0	0.6205130697
1	0.560304948
2	0.4997853038
3	0.4489062409
4	0.3919651496
5	0.3626368103
6	0.3264378247
7	0.2868010661
8	0.2589439017
9	0.2351648587
10	0.2122640293
11	0.1887788917
12	0.1688023234
13	0.1600310972
14	0.1462361191
15	0.1374690074
16	0.1264862315
17	0.1203674198
18	0.1133881034
19	0.103839199
20	0.09963299865
21	0.09427741974
22	0.08891912673
23	0.08481352946
24	0.07796578698
25	0.074382447
26	0.07274955764
27	0.06699763018
28	0.06232411689
29	0.05759762255
30	0.05570731041
31	0.05097259623
32	0.04863848143
33	0.04697608414
34	0.04460940769
35	0.04087479826
36	0.0392850199
37	0.03850259259
38	0.03539718208
39	0.0327072964
40	0.03037422933
41	0.02921084146
42	0.02780121368
43	0.02630528529
44	0.02587066591
45	0.02485634332
46	0.02447180307
47	0.02276064429
48	0.02252172763
49	0.02218420077
50	0.02204943053
51	0.02059872857
52	0.0195249004
53	0.01938128771
54	0.01906836877
55	0.01888409899
56	0.01874779376
57	0.01791742385
58	0.01715605031
59	0.01633632256
60	0.01534721353
61	0.01485395445
62	0.01439686816
63	0.01370477262
64	0.0133155794
65	0.01291464646
66	0.01287202964
67	0.01222212701
68	0.01185800315
69	0.01137494705
70	0.01073799293
71	0.01038436342
72	0.01036660795
73	0.01030780617
74	0.0102493597
75	0.01023529413
76	0.01022158245
77	0.01016836076
78	0.009638120579
79	0.009577717581
80	0.009544826244
81	0.00948653469
82	0.009049074398
83	0.009036416302
84	0.00901676529
85	0.00897153947
86	0.008960204819
87	0.008726622914
88	0.008716160322
89	0.008641785492
90	0.008632094785
91	0.008589838606
92	0.008262556203
93	0.0081396527
94	0.007626085012
95	0.007432711833
96	0.007424088654
97	0.007416235514
98	0.007407797041
99	0.007389175393
100	0.007163027924
101	0.007117136669
102	0.007054396296
103	0.006899382948
104	0.006840284638
105	0.006721889948
106	0.006714636447
107	0.00638241825
108	0.006376096399
109	0.006369778394
110	0.006202807397
111	0.005986439719
112	0.005980611698
113	0.005715551216
114	0.005715554042
115	0.005691734907
116	0.005670725809
117	0.005663206892
118	0.005583710623
119	0.00538108103
120	0.005377290608
121	0.005373066562
122	0.005351196898
123	0.005340943705
124	0.005145221619
125	0.005123286933
126	0.005009446236
127	0.00497434951
128	0.004955748645
129	0.004936512406
130	0.004672232271
131	0.004667112473
132	0.004667116914
133	0.004653249284
134	0.004600122527
135	0.004403508879
136	0.004403500805
137	0.004395723683
138	0.004395697038
139	0.004336101214
140	0.004283040535
141	0.004279633168
142	0.004205371216
143	0.004205363949
144	0.004107763216
145	0.003977810845
146	0.00397779187
147	0.00397499413
148	0.003917092186
149	0.003917086534
150	0.003911479005
151	0.003911470931
152	0.003909902305
153	0.003909902305
154	0.003745111678
155	0.0037451032
156	0.00369787971
157	0.003686748991
158	0.00365842209
159	0.003535780806
160	0.003530529582
161	0.003530519893
162	0.003530511415
163	0.003530515048
164	0.003530515048
